Freq.	V(out)
1.00000000000000e+00	(1.57492956560658e+01dB,-1.66264767235199e-04°)
1.12201845430196e+00	(1.57492956560576e+01dB,-1.86552137138003e-04°)
1.25892541179417e+00	(1.57492956560471e+01dB,-2.09314940558154e-04°)
1.41253754462275e+00	(1.57492956560340e+01dB,-2.34855226067147e-04°)
1.58489319246111e+00	(1.57492956560175e+01dB,-2.63511897736288e-04°)
1.77827941003892e+00	(1.57492956559968e+01dB,-2.95665212187808e-04°)
1.99526231496888e+00	(1.57492956559706e+01dB,-3.31741824369206e-04°)
2.23872113856834e+00	(1.57492956559377e+01dB,-3.72220449005174e-04°)
2.51188643150958e+00	(1.57492956558963e+01dB,-4.17638212851130e-04°)
2.81838293126445e+00	(1.57492956558441e+01dB,-4.68597782038911e-04°)
3.16227766016838e+00	(1.57492956557784e+01dB,-5.25775359090158e-04°)
3.54813389233575e+00	(1.57492956556958e+01dB,-5.89929655712910e-04°)
3.98107170553497e+00	(1.57492956555917e+01dB,-6.61911960444962e-04°)
4.46683592150963e+00	(1.57492956554607e+01dB,-7.42677434735478e-04°)
5.01187233627272e+00	(1.57492956552957e+01dB,-8.33297787357018e-04°)
5.62341325190348e+00	(1.57492956550880e+01dB,-9.34975495329680e-04°)
6.30957344480192e+00	(1.57492956548266e+01dB,-1.04905976006041e-03°)
7.07945784384137e+00	(1.57492956544974e+01dB,-1.17706441042566e-03°)
7.94328234724280e+00	(1.57492956540831e+01dB,-1.32068799036051e-03°)
8.91250938133744e+00	(1.57492956535614e+01dB,-1.48183629750418e-03°)
9.99999999999998e+00	(1.57492956529047e+01dB,-1.66264767197609e-03°)
1.12201845430196e+01	(1.57492956520779e+01dB,-1.86552137084907e-03°)
1.25892541179416e+01	(1.57492956510371e+01dB,-2.09314940483154e-03°)
1.41253754462275e+01	(1.57492956497268e+01dB,-2.34855225961207e-03°)
1.58489319246111e+01	(1.57492956480772e+01dB,-2.63511897586643e-03°)
1.77827941003892e+01	(1.57492956460004e+01dB,-2.95665211976428e-03°)
1.99526231496888e+01	(1.57492956433860e+01dB,-3.31741824070624e-03°)
2.23872113856833e+01	(1.57492956400945e+01dB,-3.72220448583416e-03°)
2.51188643150957e+01	(1.57492956359509e+01dB,-4.17638212255382e-03°)
2.81838293126445e+01	(1.57492956307344e+01dB,-4.68597781197395e-03°)
3.16227766016837e+01	(1.57492956241672e+01dB,-5.25775357901485e-03°)
3.54813389233575e+01	(1.57492956158995e+01dB,-5.89929654033865e-03°)
3.98107170553496e+01	(1.57492956054912e+01dB,-6.61911958073247e-03°)
4.46683592150962e+01	(1.57492955923878e+01dB,-7.42677431385343e-03°)
5.01187233627271e+01	(1.57492955758917e+01dB,-8.33297782624827e-03°)
5.62341325190347e+01	(1.57492955551243e+01dB,-9.34975488645283e-03°)
6.30957344480191e+01	(1.57492955289798e+01dB,-1.04905975061844e-02°)
7.07945784384136e+01	(1.57492954960657e+01dB,-1.17706439708853e-02°)
7.94328234724279e+01	(1.57492954546293e+01dB,-1.32068797152132e-02°)
8.91250938133743e+01	(1.57492954024640e+01dB,-1.48183627089312e-02°)
9.99999999999997e+01	(1.57492953367918e+01dB,-1.66264763438697e-02°)
1.12201845430196e+02	(1.57492952541154e+01dB,-1.86552131775302e-02°)
1.25892541179416e+02	(1.57492951500319e+01dB,-2.09314932983138e-02°)
1.41253754462275e+02	(1.57492950189986e+01dB,-2.34855215367153e-02°)
1.58489319246111e+02	(1.57492948540375e+01dB,-2.63511882622145e-02°)
1.77827941003892e+02	(1.57492946463637e+01dB,-2.95665190838515e-02°)
1.99526231496887e+02	(1.57492943849179e+01dB,-3.31741794212529e-02°)
2.23872113856833e+02	(1.57492940557772e+01dB,-3.72220406407738e-02°)
2.51188643150957e+02	(1.57492936414137e+01dB,-4.17638152680656e-02°)
2.81838293126444e+02	(1.57492931197609e+01dB,-4.68597697045864e-02°)
3.16227766016837e+02	(1.57492924630391e+01dB,-5.25775239034299e-02°)
3.54813389233574e+02	(1.57492916362755e+01dB,-5.89929486129523e-02°)
3.98107170553496e+02	(1.57492905954419e+01dB,-6.61911720902094e-02°)
4.46683592150961e+02	(1.57492892851105e+01dB,-7.42677096372247e-02°)
5.01187233627270e+02	(1.57492876355015e+01dB,-8.33297309406358e-02°)
5.62341325190347e+02	(1.57492855587677e+01dB,-9.34974820206623e-02°)
6.30957344480191e+02	(1.57492829443162e+01dB,-1.04905880642408e-01°)
7.07945784384135e+02	(1.57492796529189e+01dB,-1.17706306337916e-01°)
7.94328234724278e+02	(1.57492755092988e+01dB,-1.32068608760784e-01°)
8.91250938133742e+02	(1.57492702927958e+01dB,-1.48183360979654e-01°)
9.99999999999995e+02	(1.57492637256164e+01dB,-1.66264387549158e-01°)
1.12201845430196e+03	(1.57492554580415e+01dB,-1.86551600817826e-01°)
1.25892541179416e+03	(1.57492450498036e+01dB,-2.09314182986854e-01°)
1.41253754462275e+03	(1.57492319466438e+01dB,-2.34854155971176e-01°)
1.58489319246111e+03	(1.57492154507988e+01dB,-2.63510386188987e-01°)
