Freq.	V(out)
1.00000000000000e+00	(6.68802989305485e+00dB,-1.02853531542370e-04°)
1.12201845430196e+00	(6.68802989305015e+00dB,-1.15403560480612e-04°)
1.25892541179417e+00	(6.68802989304424e+00dB,-1.29484924551319e-04°)
1.41253754462275e+00	(6.68802989303679e+00dB,-1.45284474900365e-04°)
1.58489319246111e+00	(6.68802989302743e+00dB,-1.63011861961621e-04°)
1.77827941003892e+00	(6.68802989301564e+00dB,-1.82902317390839e-04°)
1.99526231496888e+00	(6.68802989300079e+00dB,-2.05219775446799e-04°)
2.23872113856834e+00	(6.68802989298210e+00dB,-2.30260375238565e-04°)
2.51188643150958e+00	(6.68802989295857e+00dB,-2.58356390311532e-04°)
2.81838293126445e+00	(6.68802989292894e+00dB,-2.89880637715487e-04°)
3.16227766016838e+00	(6.68802989289165e+00dB,-3.25251425060335e-04°)
3.54813389233575e+00	(6.68802989284469e+00dB,-3.64938101203925e-04°)
3.98107170553497e+00	(6.68802989278559e+00dB,-4.09467284226203e-04°)
4.46683592150963e+00	(6.68802989271118e+00dB,-4.59429849331149e-04°)
5.01187233627272e+00	(6.68802989261749e+00dB,-5.15488769401693e-04°)
5.62341325190348e+00	(6.68802989249956e+00dB,-5.78387912247010e-04°)
6.30957344480192e+00	(6.68802989235109e+00dB,-6.48961911276302e-04°)
7.07945784384137e+00	(6.68802989216417e+00dB,-7.28147240576919e-04°)
7.94328234724280e+00	(6.68802989192886e+00dB,-8.16994641356347e-04°)
8.91250938133744e+00	(6.68802989163261e+00dB,-9.16683064639372e-04°)
9.99999999999998e+00	(6.68802989125966e+00dB,-1.02853531523153e-03°)
1.12201845430196e+01	(6.68802989079015e+00dB,-1.15403560453468e-03°)
1.25892541179416e+01	(6.68802989019907e+00dB,-1.29484924512977e-03°)
1.41253754462275e+01	(6.68802988945494e+00dB,-1.45284474846206e-03°)
1.58489319246111e+01	(6.68802988851813e+00dB,-1.63011861885119e-03°)
1.77827941003892e+01	(6.68802988733877e+00dB,-1.82902317282777e-03°)
1.99526231496888e+01	(6.68802988585404e+00dB,-2.05219775294158e-03°)
2.23872113856833e+01	(6.68802988398487e+00dB,-2.30260375022954e-03°)
2.51188643150957e+01	(6.68802988163172e+00dB,-2.58356390006973e-03°)
2.81838293126445e+01	(6.68802987866929e+00dB,-2.89880637285286e-03°)
3.16227766016837e+01	(6.68802987493981e+00dB,-3.25251424452661e-03°)
3.54813389233575e+01	(6.68802987024467e+00dB,-3.64938100345562e-03°)
3.98107170553496e+01	(6.68802986433384e+00dB,-4.09467283013733e-03°)
4.46683592150962e+01	(6.68802985689255e+00dB,-4.59429847618489e-03°)
5.01187233627271e+01	(6.68802984752452e+00dB,-5.15488766982498e-03°)
5.62341325190347e+01	(6.68802983573086e+00dB,-5.78387908829806e-03°)
6.30957344480191e+01	(6.68802982088353e+00dB,-6.48961906449373e-03°)
7.07945784384136e+01	(6.68802980219185e+00dB,-7.28147233758701e-03°)
7.94328234724279e+01	(6.68802977866041e+00dB,-8.16994631725358e-03°)
8.91250938133743e+01	(6.68802974903609e+00dB,-9.16683051035240e-03°)
9.99999999999997e+01	(6.68802971174128e+00dB,-1.02853529601519e-02°)
1.12201845430196e+02	(6.68802966478989e+00dB,-1.15403557739087e-02°)
1.25892541179416e+02	(6.68802960568161e+00dB,-1.29484920678813e-02°)
1.41253754462275e+02	(6.68802953126868e+00dB,-1.45284469430304e-02°)
1.58489319246111e+02	(6.68802943758837e+00dB,-1.63011854234955e-02°)
1.77827941003892e+02	(6.68802931965183e+00dB,-1.82902306476633e-02°)
1.99526231496887e+02	(6.68802917117854e+00dB,-2.05219760030074e-02°)
2.23872113856833e+02	(6.68802898426175e+00dB,-2.30260353461863e-02°)
2.51188643150957e+02	(6.68802874894748e+00dB,-2.58356359551124e-02°)
2.81838293126444e+02	(6.68802845270437e+00dB,-2.89880594265257e-02°)
3.16227766016837e+02	(6.68802807975645e+00dB,-3.25251363685259e-02°)
3.54813389233574e+02	(6.68802761024287e+00dB,-3.64938014509333e-02°)
3.98107170553496e+02	(6.68802701916041e+00dB,-4.09467161766850e-02°)
4.46683592150961e+02	(6.68802627503183e+00dB,-4.59429676352737e-02°)
5.01187233627270e+02	(6.68802533822971e+00dB,-5.15488525063233e-02°)
