Freq.	V(out)
1.00000000000000e+00	(1.59891831124777e+01dB,-1.67870990881746e-04°)
1.12201845430196e+00	(1.59891831124693e+01dB,-1.88354349711163e-04°)
1.25892541179417e+00	(1.59891831124588e+01dB,-2.11337056323812e-04°)
1.41253754462275e+00	(1.59891831124455e+01dB,-2.37124077272946e-04°)
1.58489319246111e+00	(1.59891831124288e+01dB,-2.66057590659253e-04°)
1.77827941003892e+00	(1.59891831124077e+01dB,-2.98521526626352e-04°)
1.99526231496888e+00	(1.59891831123812e+01dB,-3.34946661880530e-04°)
2.23872113856834e+00	(1.59891831123479e+01dB,-3.75816335835901e-04°)
2.51188643150958e+00	(1.59891831123059e+01dB,-4.21672864234763e-04°)
2.81838293126445e+00	(1.59891831122531e+01dB,-4.73124735347987e-04°)
3.16227766016838e+00	(1.59891831121865e+01dB,-5.30854684244656e-04°)
3.54813389233575e+00	(1.59891831121028e+01dB,-5.95628752271589e-04°)
3.98107170553497e+00	(1.59891831119973e+01dB,-6.68306451956551e-04°)
4.46683592150963e+00	(1.59891831118646e+01dB,-7.49852172217221e-04°)
5.01187233627272e+00	(1.59891831116974e+01dB,-8.41347975216111e-04°)
5.62341325190348e+00	(1.59891831114870e+01dB,-9.44007954667907e-04°)
6.30957344480192e+00	(1.59891831112222e+01dB,-1.05919434612524e-03°)
7.07945784384137e+00	(1.59891831108887e+01dB,-1.18843560301657e-03°)
7.94328234724280e+00	(1.59891831104689e+01dB,-1.33344667829416e-03°)
8.91250938133744e+00	(1.59891831099404e+01dB,-1.49615178081732e-03°)
9.99999999999998e+00	(1.59891831092750e+01dB,-1.67870990843415e-03°)
1.12201845430196e+01	(1.59891831084374e+01dB,-1.88354349657019e-03°)
1.25892541179416e+01	(1.59891831073829e+01dB,-2.11337056247332e-03°)
1.41253754462275e+01	(1.59891831060553e+01dB,-2.37124077164915e-03°)
1.58489319246111e+01	(1.59891831043840e+01dB,-2.66057590506655e-03°)
1.77827941003892e+01	(1.59891831022800e+01dB,-2.98521526410802e-03°)
1.99526231496888e+01	(1.59891830996311e+01dB,-3.34946661576056e-03°)
2.23872113856833e+01	(1.59891830962965e+01dB,-3.75816335405821e-03°)
2.51188643150957e+01	(1.59891830920983e+01dB,-4.21672863627259e-03°)
2.81838293126445e+01	(1.59891830868132e+01dB,-4.73124734489866e-03°)
3.16227766016837e+01	(1.59891830801597e+01dB,-5.30854683032528e-03°)
3.54813389233575e+01	(1.59891830717833e+01dB,-5.95628750559413e-03°)
3.98107170553496e+01	(1.59891830612382e+01dB,-6.68306449538038e-03°)
4.46683592150962e+01	(1.59891830479626e+01dB,-7.49852168800982e-03°)
5.01187233627271e+01	(1.59891830312496e+01dB,-8.41347970390545e-03°)
5.62341325190347e+01	(1.59891830102092e+01dB,-9.44007947851614e-03°)
6.30957344480191e+01	(1.59891829837209e+01dB,-1.05919433649697e-02°)
7.07945784384136e+01	(1.59891829503742e+01dB,-1.18843558941628e-02°)
7.94328234724279e+01	(1.59891829083931e+01dB,-1.33344665908324e-02°)
8.91250938133743e+01	(1.59891828555420e+01dB,-1.49615175368118e-02°)
9.99999999999997e+01	(1.59891827890065e+01dB,-1.67870987010333e-02°)
1.12201845430196e+02	(1.59891827052432e+01dB,-1.88354344242647e-02°)
1.25892541179416e+02	(1.59891825997914e+01dB,-2.11337048599328e-02°)
1.41253754462275e+02	(1.59891824670356e+01dB,-2.37124066361822e-02°)
1.58489319246111e+02	(1.59891822999058e+01dB,-2.66057575246881e-02°)
1.77827941003892e+02	(1.59891820895020e+01dB,-2.98521504855799e-02°)
