Freq.	V(out)
1.00000000000000e+00	(7.72396110719730e+00dB,-1.10176144141211e-04°)
1.12201845430196e+00	(7.72396110719226e+00dB,-1.23619666950212e-04°)
1.25892541179417e+00	(7.72396110718591e+00dB,-1.38703547632715e-04°)
1.41253754462275e+00	(7.72396110717792e+00dB,-1.55627940120937e-04°)
1.58489319246111e+00	(7.72396110716785e+00dB,-1.74617420820523e-04°)
1.77827941003892e+00	(7.72396110715518e+00dB,-1.95923968602998e-04°)
1.99526231496888e+00	(7.72396110713923e+00dB,-2.19830308412303e-04°)
2.23872113856834e+00	(7.72396110711916e+00dB,-2.46653662853018e-04°)
2.51188643150958e+00	(7.72396110709387e+00dB,-2.76749961541584e-04°)
2.81838293126445e+00	(7.72396110706205e+00dB,-3.10518564076060e-04°)
3.16227766016838e+00	(7.72396110702199e+00dB,-3.48407559295336e-04°)
3.54813389233575e+00	(7.72396110697155e+00dB,-3.90919711145765e-04°)
3.98107170553497e+00	(7.72396110690806e+00dB,-4.38619130053247e-04°)
4.46683592150963e+00	(7.72396110682812e+00dB,-4.92138758325811e-04°)
5.01187233627272e+00	(7.72396110672749e+00dB,-5.52188768913439e-04°)
5.62341325190348e+00	(7.72396110660080e+00dB,-6.19565988971569e-04°)
6.30957344480192e+00	(7.72396110644130e+00dB,-6.95164473273223e-04°)
7.07945784384137e+00	(7.72396110624051e+00dB,-7.79987367772512e-04°)
7.94328234724280e+00	(7.72396110598773e+00dB,-8.75160220741773e-04°)
8.91250938133744e+00	(7.72396110566951e+00dB,-9.81945918113023e-04°)
9.99999999999998e+00	(7.72396110526888e+00dB,-1.10176144120660e-03°)
1.12201845430196e+01	(7.72396110476451e+00dB,-1.23619666921183e-03°)
1.25892541179416e+01	(7.72396110412956e+00dB,-1.38703547591711e-03°)
1.41253754462275e+01	(7.72396110333020e+00dB,-1.55627940063017e-03°)
1.58489319246111e+01	(7.72396110232387e+00dB,-1.74617420738708e-03°)
1.77827941003892e+01	(7.72396110105698e+00dB,-1.95923968487432e-03°)
1.99526231496888e+01	(7.72396109946204e+00dB,-2.19830308249062e-03°)
2.23872113856833e+01	(7.72396109745415e+00dB,-2.46653662622433e-03°)
2.51188643150957e+01	(7.72396109492635e+00dB,-2.76749961215874e-03°)
2.81838293126445e+01	(7.72396109174404e+00dB,-3.10518563615983e-03°)
3.16227766016837e+01	(7.72396108773776e+00dB,-3.48407558645460e-03°)
3.54813389233575e+01	(7.72396108269415e+00dB,-3.90919710227792e-03°)
3.98107170553496e+01	(7.72396107634462e+00dB,-4.38619128756576e-03°)
4.46683592150962e+01	(7.72396106835103e+00dB,-4.92138756494215e-03°)
5.01187233627271e+01	(7.72396105828771e+00dB,-5.52188766326241e-03°)
5.62341325190347e+01	(7.72396104561872e+00dB,-6.19565985317055e-03°)
6.30957344480191e+01	(7.72396102966942e+00dB,-6.95164468111084e-03°)
7.07945784384136e+01	(7.72396100959045e+00dB,-7.79987360480798e-03°)
7.94328234724279e+01	(7.72396098431251e+00dB,-8.75160210441953e-03°)
8.91250938133743e+01	(7.72396095248948e+00dB,-9.81945903564142e-03°)
9.99999999999997e+01	(7.72396091242665e+00dB,-1.10176142065576e-02°)
1.12201845430196e+02	(7.72396086199054e+00dB,-1.23619664018299e-02°)
1.25892541179416e+02	(7.72396079849523e+00dB,-1.38703543491279e-02°)
1.41253754462275e+02	(7.72396071855938e+00dB,-1.55627934271004e-02°)
1.58489319246111e+02	(7.72396061792611e+00dB,-1.74617412557272e-02°)
1.77827941003892e+02	(7.72396049123633e+00dB,-1.95923956930846e-02°)
1.99526231496887e+02	(7.72396033174336e+00dB,-2.19830291924951e-02°)
2.23872113856833e+02	(7.72396013095362e+00dB,-2.46653639564015e-02°)
2.51188643150957e+02	(7.72395987817432e+00dB,-2.76749928644994e-02°)
2.81838293126444e+02	(7.72395955994406e+00dB,-3.10518517608394e-02°)
3.16227766016837e+02	(7.72395915931595e+00dB,-3.48407493658019e-02°)
3.54813389233574e+02	(7.72395865495510e+00dB,-3.90919618430598e-02°)
3.98107170553496e+02	(7.72395802000252e+00dB,-4.38618999089607e-02°)
4.46683592150961e+02	(7.72395722064474e+00dB,-4.92138573334777e-02°)
5.01187233627270e+02	(7.72395621431319e+00dB,-5.52188507606701e-02°)
5.62341325190347e+02	(7.72395494741724e+00dB,-6.19565619866067e-02°)
6.30957344480191e+02	(7.72395335249039e+00dB,-6.95163951897978e-02°)
7.07945784384135e+02	(7.72395134459748e+00dB,-7.79986631310645e-02°)
7.94328234724278e+02	(7.72394881681174e+00dB,-8.75159180462163e-02°)
8.91250938133742e+02	(7.72394563452066e+00dB,-9.81944448679779e-02°)
9.99999999999995e+02	(7.72394162825769e+00dB,-1.10175936557833e-01°)
1.12201845430196e+03	(7.72393658467802e+00dB,-1.23619373731136e-01°)
1.25892541179416e+03	(7.72393023519784e+00dB,-1.38703133450190e-01°)
1.41253754462275e+03	(7.72392224169240e+00dB,-1.55627355073330e-01°)
1.58489319246111e+03	(7.72391217849148e+00dB,-1.74616594420163e-01°)
1.77827941003891e+03	(7.72389950971364e+00dB,-1.95922801283866e-01°)
1.99526231496887e+03	(7.72388356073307e+00dB,-2.19828659534475e-01°)
2.23872113856833e+03	(7.72386348226043e+00dB,-2.46651333758775e-01°)
2.51188643150957e+03	(7.72383820512626e+00dB,-2.76746671622032e-01°)
2.81838293126444e+03	(7.72380638336167e+00dB,-3.10513916965199e-01°)
3.16227766016836e+03	(7.72376632254873e+00dB,-3.48400995119493e-01°)
3.54813389233573e+03	(7.72371588963124e+00dB,-3.90910439076907e-01°)
3.98107170553495e+03	(7.72365239939257e+00dB,-4.38606033042962e-01°)
4.46683592150961e+03	(7.72357247157031e+00dB,-4.92120258547286e-01°)
5.01187233627269e+03	(7.72347185102282e+00dB,-5.52162637708877e-01°)
5.62341325190346e+03	(7.72334518140936e+00dB,-6.19529078423638e-01°)
6.30957344480189e+03	(7.72318572039208e+00dB,-6.95112337089185e-01°)
7.07945784384134e+03	(7.72298498128975e+00dB,-7.79913725856897e-01°)
7.94328234724277e+03	(7.72273228225269e+00dB,-8.75056203041769e-01°)
8.91250938133740e+03	(7.72241417919225e+00dB,-9.81798996800081e-01°)
9.99999999999994e+03	(7.72201375264951e+00dB,-1.10155392283772e+00°)
1.12201845430196e+04	(7.72150971123224e+00dB,-1.23590356573043e+00°)
1.25892541179416e+04	(7.72087526483491e+00dB,-1.38662149892519e+00°)
1.41253754462275e+04	(7.72007670915559e+00dB,-1.55569471846316e+00°)
1.58489319246110e+04	(7.71907164853342e+00dB,-1.74534845675900e+00°)
1.77827941003891e+04	(7.71780676626731e+00dB,-1.95807352087026e+00°)
1.99526231496887e+04	(7.71621502968441e+00dB,-2.19665625818552e+00°)
2.23872113856832e+04	(7.71421219060643e+00dB,-2.46421118234019e+00°)
2.51188643150956e+04	(7.71169240982328e+00dB,-2.76421618087549e+00°)
